doy,sun_up,med_flip,sun_down,min_alt
213,06:57:00,12:37:00,18:07:00,15
214,06:57:00,12:37:00,18:06:00,15
215,06:58:00,12:37:00,18:06:00,15
216,06:59:00,12:37:00,18:05:00,15
217,06:59:00,12:37:00,18:04:00,15
218,07:00:00,12:37:00,18:03:00,15
219,07:00:00,12:36:00,18:02:00,15
220,07:01:00,12:36:00,18:01:00,15
221,07:02:00,12:36:00,18:00:00,15
222,07:02:00,12:36:00,18:00:00,15
223,07:03:00,12:36:00,17:59:00,15
224,07:04:00,12:36:00,17:58:00,15
225,07:04:00,12:36:00,17:57:00,15
226,07:05:00,12:35:00,17:56:00,15
227,07:05:00,12:35:00,17:55:00,15
228,07:06:00,12:35:00,17:54:00,15
229,07:07:00,12:35:00,17:53:00,15
230,07:07:00,12:34:00,17:51:00,15
231,07:08:00,12:34:00,17:50:00,15
232,07:09:00,12:34:00,17:49:00,15
233,07:09:00,12:34:00,17:48:00,15
234,07:10:00,12:34:00,17:47:00,15
235,07:11:00,12:33:00,17:46:00,15
236,07:11:00,12:33:00,17:45:00,15
237,07:12:00,12:33:00,17:43:00,15
238,07:12:00,12:32:00,17:42:00,15
239,07:13:00,12:32:00,17:41:00,15
240,07:14:00,12:32:00,17:40:00,15
241,07:14:00,12:32:00,17:39:00,15
242,07:15:00,12:31:00,17:37:00,15
243,07:16:00,12:31:00,17:36:00,15
244,07:16:00,12:31:00,17:35:00,15
245,07:17:00,12:30:00,17:33:00,15
246,07:18:00,12:30:00,17:32:00,15
247,07:18:00,12:30:00,17:31:00,15
248,07:19:00,12:29:00,17:29:00,15
249,07:20:00,12:29:00,17:28:00,15
250,07:20:00,12:29:00,17:27:00,15
251,07:21:00,12:28:00,17:25:00,15
252,07:22:00,12:28:00,17:24:00,15
253,07:23:00,12:28:00,17:22:00,15
254,07:23:00,12:27:00,17:21:00,15
255,07:24:00,12:27:00,17:20:00,15
256,07:25:00,12:27:00,17:18:00,15
257,07:25:00,12:26:00,17:17:00,15
258,07:26:00,12:26:00,17:15:00,15
259,07:27:00,12:25:00,17:14:00,15
260,07:28:00,12:25:00,17:12:00,15
261,07:28:00,12:25:00,17:11:00,15
262,07:29:00,12:24:00,17:10:00,15
263,07:30:00,12:24:00,17:08:00,15
264,07:31:00,12:24:00,17:07:00,15
265,07:31:00,12:23:00,17:05:00,15
266,07:32:00,12:23:00,17:04:00,15
267,07:33:00,12:23:00,17:02:00,15
268,07:34:00,12:22:00,17:01:00,15
269,07:35:00,12:22:00,16:59:00,15
270,07:35:00,12:22:00,16:58:00,15
271,07:36:00,12:21:00,16:56:00,15
272,07:37:00,12:21:00,16:55:00,15
273,07:38:00,12:21:00,16:53:00,15
274,07:39:00,12:20:00,16:52:00,15
275,07:40:00,12:20:00,16:50:00,15
276,07:41:00,12:20:00,16:49:00,15
277,07:41:00,12:19:00,16:47:00,15
278,07:42:00,12:19:00,16:46:00,15
279,07:43:00,12:19:00,16:44:00,15
280,07:44:00,12:18:00,16:43:00,15
281,07:45:00,12:18:00,16:41:00,15
282,07:46:00,12:18:00,16:40:00,15
283,07:47:00,12:18:00,16:38:00,15
284,07:48:00,12:17:00,16:37:00,15
285,07:49:00,12:17:00,16:35:00,15
286,07:50:00,12:17:00,16:34:00,15
287,07:51:00,12:17:00,16:32:00,15
288,07:52:00,12:16:00,16:31:00,15
289,07:53:00,12:16:00,16:29:00,15
290,07:54:00,12:16:00,16:28:00,15
291,07:55:00,12:16:00,16:26:00,15
292,07:56:00,12:15:00,16:25:00,15
293,07:57:00,12:15:00,16:24:00,15
294,07:58:00,12:15:00,16:22:00,15
295,07:59:00,12:15:00,16:21:00,15
296,08:00:00,12:15:00,16:19:00,15
297,08:01:00,12:15:00,16:18:00,15
298,08:03:00,12:15:00,16:17:00,15
299,08:04:00,12:14:00,16:15:00,15
300,08:05:00,12:14:00,16:14:00,15
301,08:06:00,12:14:00,16:13:00,15
302,08:07:00,12:14:00,16:11:00,15
303,08:08:00,12:14:00,16:10:00,15
304,08:09:00,12:14:00,16:09:00,15
305,08:11:00,12:14:00,16:08:00,15
306,08:12:00,12:14:00,16:06:00,15
307,08:13:00,12:14:00,16:05:00,15
308,08:14:00,12:14:00,16:04:00,15
309,08:15:00,12:14:00,16:03:00,15
310,08:17:00,12:14:00,16:02:00,15
311,08:18:00,12:14:00,16:00:00,15
312,08:19:00,12:14:00,15:59:00,15
313,08:20:00,12:14:00,15:58:00,15
314,08:22:00,12:14:00,15:57:00,15
315,08:23:00,12:14:00,15:56:00,15
316,08:24:00,12:15:00,15:55:00,15
317,08:25:00,12:15:00,15:54:00,15
318,08:27:00,12:15:00,15:53:00,15
319,08:28:00,12:15:00,15:52:00,15
320,08:29:00,12:15:00,15:51:00,15
321,08:30:00,12:15:00,15:50:00,15
322,08:32:00,12:16:00,15:50:00,15
323,08:33:00,12:16:00,15:49:00,15
324,08:34:00,12:16:00,15:48:00,15
325,08:35:00,12:16:00,15:47:00,15
326,08:37:00,12:17:00,15:47:00,15
327,08:38:00,12:17:00,15:46:00,15
328,08:39:00,12:17:00,15:45:00,15
329,08:40:00,12:17:00,15:45:00,15
330,08:42:00,12:18:00,15:44:00,15
331,08:43:00,12:18:00,15:44:00,15
332,08:44:00,12:18:00,15:43:00,15
333,08:45:00,12:19:00,15:43:00,15
334,08:46:00,12:19:00,15:42:00,15
335,08:47:00,12:20:00,15:42:00,15
336,08:48:00,12:20:00,15:41:00,15
337,08:49:00,12:20:00,15:41:00,15
338,08:51:00,12:21:00,15:41:00,15
339,08:52:00,12:21:00,15:41:00,15
340,08:53:00,12:22:00,15:40:00,15
341,08:54:00,12:22:00,15:40:00,15
342,08:55:00,12:22:00,15:40:00,15
343,08:56:00,12:23:00,15:40:00,15
